希腊语	英文	现中文	建议中文	类型	原因	ids
Άγγλος, -ίδα	English(man/woman)	英国人（男，女）)	英国人（男/女）	截断	括号不配对，多一个「)」	a1-a:100238,A1:900009
Έλληνας/-ίδα, ο/η	Greek	希腊语	希腊人（男/女）	错义	Έλληνας/-ίδα 是希腊人，不是希腊语	a1-a:100239,A1:900335
Ισπανός, -ίδα	Spanish	西班牙语	西班牙人	错义	Ισπανός/-ίδα 是西班牙人，不是西班牙语	a1-a:100249,A1:900458
Ιταλός, -ίδα	Italian	意大利语	意大利人	错义	Ιταλός/-ίδα 是意大利人，不是意大利语	a1-a:100251,A1:900462
Ολλανδός, -ή	Dutch	荷兰语	荷兰人	错义	Ολλανδός/-ή 是荷兰人，不是荷兰语	a1-a:100259,A1:900837
γαλλικός, -ή, -ό	French	法语	法国的，法语的	词性	形容词给成了名词「法语」	a1-a:100264,A1:900182
γερμανικός, -ή, -ό	German	德语	德国的，德语的	词性	形容词给成了名词「德语」	a1-a:100265,A1:900195
ελληνικός, -ή, -ό	Greek, Hellenic	希腊语	希腊的，希腊语的	词性	形容词给成了名词「希腊语」	a1-a:100266,a1-b:100862,A1:900336
ισπανικός, -ή, -ό	Spanish	西班牙语	西班牙的，西班牙语的	词性	形容词给成了名词「西班牙语」	a1-a:100268,A1:900457
ιταλικός, -ή, -ό	Italian	意大利语	意大利的，意大利语的	词性	形容词给成了名词「意大利语」	a1-a:100269,a1-b:101081,A1:900461
κινεζικός, -ή, -ό	Chinese	中国人	中国的，中文的	错义	κινεζικός 是形容词「中国的」，不是「中国人」	a1-a:100270,A1:900546
ολλανδικός, -ή, -ό	Dutch	荷兰语	荷兰的，荷兰语的	词性	形容词给成了名词「荷兰语」	a1-a:100271,a1-b:101423,A1:900836
ρωσικός, -ή, -ό	Russian	俄语	俄罗斯的，俄语的	词性	形容词给成了名词「俄语」	a1-a:100272,A1:901034
αγαπάω, -ώ	to love	去爱	爱	错义	机翻残留「去」，「去爱」不是词条义	a1-a:100286,a1-b:100966,A1:900003,A2:950003
διαδρομή, η	way, path, route	方式，路径	路线，路程	错义	way 取了「方式」义	a1-a:100306,a1-b:101281,A1:900268,A2:950396
μόνο	only	仅有的	只，仅仅	词性	μόνο 是副词「只」，「仅有的」是形容词	a1-a:100319,a1-b:100825,a2:101986,A1:900747
φασολιά, η	bean plan	豆计划	豆藤，豆茎	乱码	bean plan(t) 被译成「豆计划」，无意义	a1-a:100343,A1:901213
αδερφή, η	sister	姐姐	姐妹（姐姐或妹妹）	错义	αδερφή 不分长幼，只写姐姐会误导	a1-a:100405,a1-b:100803,a2:101573,A1:900021
όταν	when	什么时候	当……的时候	错义	όταν 是连词；「什么时候」是 πότε	a1-a:100434,a1-b:100881,a2:101494,A1:900854
αδύνατος, -η, -ο	thin, slim	薄，苗条	瘦，苗条	错义	thin 取了「薄」义，形容人应为「瘦」	a1-a:100438,A1:900023
αργά	late	晚的	晚，迟；慢慢地	词性	αργά 是副词，「晚的」是形容词	a1-a:100449,a1-b:100950,A1:900093
δίπλα	beside	旁	在旁边	截断	只剩单字「旁」，不成词	a1-a:100455,a1-b:101434,A1:900283,A2:950427
πλάτη, η	back	后退	后背，背	错义	back 取了「后退」义	a1-a:100463,a1-b:101425,A1:900953
τρέχω	to run	运行	跑	错义	run 取了「运行（程序）」义	a1-a:100468,a1-b:101248,a2:102241,A1:901177
γίγαντας, ο	giant	巨大的	巨人	词性	γίγαντας 是名词巨人，不是形容词「巨大的」	a1-a:100474,A1:900209
παλιός, -ά, -ό	old	老的	旧的，古老的	错义	παλιός 指东西旧；「老的」易与年老(γέρος)混淆	a1-a:100484,a1-b:101414,A1:900872
ρούχο, το	cloth	布	衣服	错义	ρούχο 是衣服，cloth 被译成「布」	a1-a:100486,a1-b:101008,a2:101469,A1:901029
πιο	more	更多的	更	词性	πιο 是比较级副词「更」，不是「更多的」	a1-a:100503,a1-b:101180,A1:900945
μάγος, ο	magician	魔术师	巫师，魔法师	错义	童话语境 μάγος 是巫师，不是舞台魔术师	a1-a:100511,a1-b:101351,A1:900681
σχέδιο, το	design	设计	图画，草图；计划	错义	σχέδιο 在课本中多为图画/计划，「设计」偏义	a1-a:100531,a1-b:101303,A1:901121
απόγευμα, το	afternoon, evening	下午，晚上	下午	错义	απόγευμα 是下午，「晚上」是 βράδυ	a1-a:100536,a1-b:100804,a2:101793,A1:900089
βάφω	to paint	画画	涂颜色，粉刷，染	错义	βάφω 是上色/刷漆，「画画」是 ζωγραφίζω	a1-a:100537,a1-b:101223,A1:900147,A2:950239
κρατάω, -ώ	to hold	持有	拿着，握着	错义	hold 取了「持有（股份）」义	a1-a:100544,a1-b:100910,A1:900618,A2:950817
καθόλου	any, at all	任何，全部	（否定句中）一点也（不）	错义	καθόλου 是「一点也不」，「全部」恰恰相反	a1-a:100548,a1-b:101116,a2:101841,A1:900470
σκάκι, το	chess	棋	国际象棋	错义	σκάκι 是国际象棋，「棋」太泛	a1-a:100552,a1-b:101194,A1:901062
κοιτάζω		看)	看	截断	多一个不配对的「)」	a1-a:100556,A1:900565
χοντρός, -ή, -ό	fat, thick	肥厚的	胖的；粗的，厚的	错义	「肥厚的」不成义，形容人应为「胖」	a1-a:100558,A1:901272
έξω	out	出去	外面，在外	词性	έξω 是副词「外面」，「出去」是动作	a1-a:100562,a1-b:100753,a2:101712,A1:900352
πάρκιγκ, το	parking	停車處	停车场	乱码	繁体字「停車處」混入，且应为停车场	a1-a:100572,a2:101741,A1:900898,A2:951147
όροφος, ο	floor	地面	楼层	错义	όροφος 是楼层，floor 被译成「地面」	a1-a:100576,a2:101751,A1:900853,A2:951090
ανεβαίνω	to rise, to climb, to get on	上升，攀登，继续	上去，攀登，上（车）	错义	get on 被译成「继续」	a1-a:100597,A1:900068,A2:950111
ανοιχτός, -ή, -ό	open	打开	开着的，打开的	词性	ανοιχτός 是形容词，「打开」像动词	a1-a:100598,a1-b:101019,A1:900077
βρύση, η	tap	轻敲	水龙头	错义	tap 取了「轻敲」义	a1-a:100599,A1:900174
γυριστός, -ή, -ό	turned	转身	弯的，卷曲的，上翘的	错义	γυριστός 是弯曲/上翘，不是「转身」	a1-a:100600,A1:900240
κάποτε	once, someday, one day	一次，有一天	曾经，从前，有一天	错义	κάποτε 不是「一次」	a1-a:100603,A1:900501
μαγικός, -ή, -ό	magic	魔法	有魔法的，神奇的	词性	形容词给成了名词「魔法」	a1-a:100608,a1-b:101261,A1:900679
νότα, η	note	笔记	音符	错义	νότα 是音符，note 取了「笔记」义	a1-a:100610,a1-b:101041,a2:102149,A1:900800
σιδερένιος, -ια, -ο	iron	铁	铁的，铁制的	词性	形容词给成了名词「铁」	a1-a:100613,A1:901058
ραδιόφωνο, το	radio	收音机，无线电电话	收音机	错义	「无线电电话」多余且错	a1-a:100623,a1-b:100849,a2:101948,A1:901019
σκούρος, -η, -ο	dark	黑暗的	深色的	错义	σκούρος 是颜色深，不是「黑暗的」	a1-a:100630,A1:901071
πλατεία, η	square	正方形	广场	错义	square 取了「正方形」义	a1-a:100646,a1-b:100778,a2:102449,A1:900952
βόλτα, η	walk	走	散步，兜风	错义	βόλτα 是散步/兜一圈，「走」不对	a1-a:100654,a1-b:100807,a2:102096,A1:900165
κούνια, η	swing	摇摆	秋千	错义	swing 在游乐场指秋千，不是动作摇摆	a1-a:100671,A1:900608
τσουλήθρα, η	slide	滑动	滑梯	错义	游乐场滑梯，不是动词滑动	a1-a:100674,A1:901189
παρακαλώ	to please	取悦	请；不客气	错义	παρακαλώ 是请/不客气，不是取悦	a1-a:100697,a1-b:101137,A1:900889,A2:951134
κόλπο, το	trick	诡计	把戏，戏法	错义	马戏团语境的表演把戏，诡计意思偏负面	a1-a:100705,A1:900572
καημένος, -η, -ο	poor	贫穷的	可怜的	错义	καημένος 是可怜的，不是贫穷的	a1-a:100726,A1:900467
ρόλος, ο	role, part	角色，部分	角色	错义	部分是 part 的另一义，此处只指角色	a1-a:100738,a1-b:101027,a2:102191,A1:901028
κλείνω [a table at a restaurant]	to	关闭，关掉	关闭；预订（餐桌）	错义	标注为订餐桌语境，应为预订	a1-b:100767,A1:900557
νωρίς	early	早期的	早，很早	词性	副词，不是形容词早期的	a1-b:100772,a2:101655,A1:900807,A2:951033
παιδότοπος, ο	playground	操场	儿童游乐场	错义	παιδότοπος 是儿童游乐场，不是操场	a1-b:100828,A1:900865
παραπάνω / πιο πάνω	above	多于	上面，更上面	错义	πιο πάνω 指位置更上方，不是多于	a1-b:100829,a2:101900,A1:900893,A2:951140
ψέμα, το	lie	说谎	谎言	词性	名词谎言，不是动词说谎	a1-b:100879,a2:101854,A1:901300,A2:951667
παζλ, το	puzzle	谜	拼图	错义	παζλ 是拼图	a1-b:100886,A1:900860
πατατάκια, τα	chips	筹码	薯片	错义	chips 指薯片，不是筹码	a1-b:100887,A1:900903
δώρο, το	present	展示	礼物	错义	present 取了展示义	a1-b:100908,a2:102019,A1:900305,A2:950452
έτος, το [see also χρόνος]	year	时间	年	错义	έτος 是年，不是时间	a1-b:100918,A1:900375,A2:950568
τζιν, το	jeans (a pair of )	牛仔裤)	牛仔裤	截断	多出半边括号	a1-b:100936,A1:901154
ευχή, η	wish	希望	愿望，祝愿	词性	名词愿望，希望易被读成动词	a1-b:100954,a2:101460,A1:900390,A2:950587
κυνηγητό, το	cat and mouse	猫和老鼠	捉人游戏，追逐游戏	错义	κυνηγητό 是儿童追逐游戏，不是动画猫和老鼠	a1-b:100969,A1:900633
ταβέρνα, η	tavern	酒馆	希腊小餐馆	错义	taverna 是家常餐馆，不是酒馆	a1-b:100991,a2:101982,A1:901128,A2:951453
επόμενος, -η, -ο	next, following	接下来	下一个的，接下来的	词性	形容词下一个，接下来易读成副词	a1-b:101078,A1:900361
κόσμος, ο	people, crowd	宇宙	人们，人群；世界	错义	κόσμος 此处是人群，宇宙不对	a1-b:101150,A1:900594,A2:950799
μπότα, η	boot	启动	靴子	错义	boot 取了启动义	a1-b:101167,A1:900772
φορά, η	time	时间	次，回	错义	φορά 是一次两次的次，不是时间	a1-b:101203,a2:101929,A1:901225,A2:951581
φασαρία, η	fuss	大惊小怪	吵闹，喧哗	错义	φασαρία 是吵闹喧哗	a1-b:101218,a2:101910,A1:901212,A2:951559
συναντάω, -ώ	to meet (with), to	遇见，碰见，to come	遇见，碰见	乱码	夹带英文 to come	a1-b:101226,A1:901111,A2:951418
γκολ, το	goal	目标	进球	错义	足球语境的进球，不是目标	a1-b:101231,A1:900215
παίκτης/-τρια, ο/η	player	玩家	球员，选手	错义	体育语境，不是游戏玩家	a1-b:101238,A1:900867
πινέλο, το	brush	刷子	画笔	错义	πινέλο 是画笔	a1-b:101264,A1:900942
θέα, η	view	看法	景色，风景	错义	view 取了看法义	a1-b:101297,a2:101735,A1:900432,A2:950632
ωδείο, το	conservatory	温室	音乐学院	错义	conservatory 取了温室义	a1-b:101310,a2:101966,A1:901306,A2:951675
πιπεριά, η	pepper	胡椒	甜椒，辣椒	错义	πιπεριά 是蔬菜椒，胡椒是 πιπέρι	a1-b:101323,A1:900947
κρυμμένος, -η, -ο	hidden	隐	隐藏的	截断	只有一个隐字	a1-b:101326,A1:900626
μπιφτέκι, το	burger	汉堡	汉堡肉饼	错义	μπιφτέκι 是肉饼本身，不是汉堡包	a1-b:101342,A1:900768
μανάβικο, το	the grocer's	杂货店的	蔬果店	错义	μανάβικο 是蔬菜水果店，且多了的字	a1-b:101383,A1:900700
περίπτερο, το	kiosk	亭	报刊亭	错义	只写亭不明确，περίπτερο 是报刊亭/小卖亭	a1-b:101384,A1:900920
γνωριμία, η	acquaintance	熟人	相识，结识	错义	γνωριμία 是认识这件事，不是熟人	a2:101449,A2:950324
σπουδές, οι	studies	研究	学业	错义	σπουδές 是学业，不是研究	a2:101471,A2:951379
το	Citizen Service Centre	自动柜员机，自动交易机	市民服务中心	错义	Citizen Service Centre(ΚΕΠ) 被误作自动柜员机；希腊语列也缺失	a2:101475,A2:951496
άσχημα	badly	严重地	不好，糟糕地	错义	άσχημα 是糟糕地，不是严重地	a2:101481,A1:900116,A2:950208
έξοδος, η	a night out	出去过夜	晚上出去玩	错义	a night out 是外出娱乐，不是过夜	a2:101482,A2:950528
ότι	that	那	（连词）……（说）……	错义	ότι 是连词that，不是指示代词那	a2:101495,A2:951096
αίθουσα, η [school]	classroom	大厅，房间，休息室	教室	错义	标注学校语境，是教室	a2:101501,A2:950053
είμαι [infinitive]	to be	成为	是	错义	είμαι 是动词是，不是成为	a2:101510
πρέπει	Ι/you must / have to	I，你必须，不得不	我/你必须，不得不	乱码	夹带英文字母 I	a2:101522
στήλη, η	column	柱子	（报纸/表格的）栏，列	错义	στήλη 在练习中指栏/列，柱子易误导	a2:101528,A1:901098,A2:951388
ταιριάζω	to fit, to match, to suit	to fit 适合，匹配，适应	适合，匹配	乱码	夹带英文 to fit	a2:101532
ξάδερφος, ο / ξαδέρφη, η	cousin	表哥	表兄弟，表姐妹（堂兄弟姐妹）	错义	ξάδερφος/ξαδέρφη 含男女，不只表哥	a2:101562,A2:951034
χωρισμένος, ο / χωρισμένη, η [marriage]		分	离婚的，分居的	截断	只剩一个分字	a2:101572,A2:951663
ας	let(s)	让)	让……吧（我们……吧）	截断	多出半边括号且不完整	a2:101577,A2:950196
αγγλικά		英语)	英语	截断	多出半边括号	a2:101625,A2:950010
συνεργείο, το	garage	车库	汽车修理厂	错义	συνεργείο 是修车厂，不是车库	a2:101639,A2:951422
δίνομαι	to be given	给予	被给予	错义	被动语态，给予是主动	a2:101646,A2:950423
μακριά	far, far away, away	远方	远，在远处	词性	副词，不是名词远方	a2:101653
δεξιά [adv]	(to the) right	正确的 ( right)	向右，在右边	错义	right 取了正确义	a2:101666
πονάω, -ώ	hurt, feel pain	受伤，感到痛苦	疼，疼痛	错义	πονάω 是疼，受伤另有其词	a2:101677,A2:951232
συνάντηση, η	meeting	会议	见面，会面	错义	συνάντηση 多指见面，会议易误导	a2:101681,A2:951419
υπάρχω	to exist, to be	存在，成为	存在	错义	成为不是 υπάρχω 的意思	a2:101722
κουράζω	to tire	轮胎	使疲劳，使累	错义	tire 取了轮胎义	a2:101736,A1:900612,A2:950809
ύπνος, ο	sleep	睡觉	睡眠	词性	名词睡眠，不是动词睡觉	a2:101787,A2:951541
γύρω	around	大约	周围，四周	错义	γύρω 是周围，不是大约	a2:101794,A2:950351
ενοίκιο, το	rent	租	房租	词性	名词房租，租像动词	a2:101795,A2:950521
ραντεβού, το	date, appointement	日期，约会	约会，预约	错义	date 取了日期义	a2:101804,A2:951305
δυνατά [adv; in general]	strongly	强烈地	大声地，用力地	错义	δυνατά 常用义是大声/用力	a2:101826,A2:950442
δύσκολα [adv]	hardly, barely	几乎，勉强	困难地，勉强	错义	几乎不是 δύσκολα 的意思	a2:101827,A2:950447
υπογραμμίζω	to underline	下划线	在……下面划线	词性	动词，下划线是名词	a2:101849,A1:901202,A2:951542
αργά [adv]	late	晚的	晚，迟；慢慢地	词性	副词，不是形容词晚的	a2:101863,A2:950182
ποτό, το	drink	喝	饮料	词性	名词饮料，不是动词喝	a2:101879,A2:951248
πειράζει	it matters (δεν) πειράζει = it doesn't matter	这很重要	要紧；δεν πειράζει = 没关系	错义	πειράζει 是要紧/打扰，不是这很重要	a2:101902,A2:951158
πισίνα, η	(swimming) pool	水池 ( pool)	游泳池	截断	夹带英文和半边括号	a2:101903,A2:951195
τέλεια [adv]	perfect	完美的	完美地，太好了	词性	副词，不是形容词	a2:101908,A2:951470
γλυκό, το	sweet, candy, dessert	甜，糖果，甜点	甜点，糖果	词性	名词甜点，甜是形容词	a2:101920,A2:950319
χάδι, το	touch	触碰	抚摸，爱抚	错义	χάδι 是抚摸，不是一般触碰	a2:101930,A2:951610
Έλληνας, ο / Ελληνίδα, η	Greek	希腊语	希腊人	错义	Έλληνας 是希腊人，不是希腊语	a2:101932,A2:950501
Δράμα, η	Drama	戏剧	德拉马（希腊城市）	错义	阴性 η Δράμα 是城市名，不是戏剧	a2:101952,A2:950434
επιτυχία, η [in general]	success	打	成功	错义	success 被译成打	a2:101970,A2:950551
μέγαρο, το	palace	宫殿	大厦，（音乐）厅	错义	μέγαρο 指大楼/音乐厅，不是宫殿	a2:101972,A2:950921
κρατάω, -ώ	to hold, to last	坚持，持续	拿着，握住；持续	错义	κρατάω 主义是拿着，坚持不对	a2:101980
ποιανού, -ής [for a person]	whose	谁	谁的	词性	ποιανού 是谁的	a2:101987
άδεια, η	leave	离开	假期，许可	错义	leave 取了离开义	a2:101992,A2:950029
πρόσωπο, το [part of the body]	face see also καλώ] = to invite	人	脸	错义	πρόσωπο 是脸，译成人	a2:102023
τηλεφώνημα, το	call, phonecall	打电话	电话（通话）	词性	名词一通电话，不是动词打电话	a2:102027,A2:951489
κοστίζω [see also κάνω]	to cost	成本	值（多少钱），花费	词性	动词“花费/值多少钱”被译成名词“成本”	a2:102039,A1:900595,A2:950800
μετακίνηση, η	transportation	运输	出行，交通往来	错义	指人的出行移动，不是货物运输	a2:102047,A2:950937
σκηνικό, το	set, scenery	布景，风景	布景，舞台布景	错义	“风景”是自然景色，与舞台布景不是一回事	a2:102083,A2:951354
μεγαλώνω [age]	to grow up, to grow	长大，变老	长大，变大	错义	μεγαλώνω 是长大，不是“变老”	a2:102087,A2:950920
αξιοθέατο, το	sight, attraction	视线，吸引力	名胜，景点	错义	sight 被译成“视线”，attraction 被译成“吸引力”	a2:102095,A2:950138
σερβίρω	to serve	服务	上菜，端上（饭菜）	错义	σερβίρω 是端菜上桌，不是“服务”	a2:102109,A2:951338
καιρός, ο	wheather	小麦	天气	错义	英文拼错 wheather 被当成 wheat 译成“小麦”	a2:102117
λόγια, τα	words	字	话，话语	错义	λόγια 是说出的话，不是“字”	a2:102118,A2:950871
μετρό, το	metro, subway	地铁，地下，管道	地铁	错义	“地下，管道”是 subway 的其他义项，混入错义	a2:102132,A2:950942
δίπλα	beside, next	旁边，接下来	旁边，隔壁	错义	next 被译成“接下来”（时间），这里是位置“旁边”	a2:102134
ούζο, το	ouzo (Greek alcoholic	茴香酒)	茴香酒（希腊烈酒）	截断	中文末尾多一个孤立右括号，英文也被截断	a2:102137,A2:951098
αστράφτει [weather]	it’s lightning	是闪电	打闪电，闪电了	词性	动词“打闪”被译成“是闪电”	a2:102154,A2:950202
κρύο, το	cold	寒冷的	寒冷，冷	词性	名词“寒冷”被译成形容词“寒冷的”	a2:102164,A2:950827
Πρωτοχρονιά, η	New Year’s Eve	除夕	元旦（新年第一天）	错义	Πρωτοχρονιά 是1月1日元旦，不是除夕	a2:102170,A2:951293
Απόκριες, οι	Carnival time /	狂欢节，万圣节	狂欢节（大斋前的谢肉节）	错义	Απόκριες 不是万圣节	a2:102174,A2:950164
επιτέλους	at last, finally	最后	终于	错义	επιτέλους 是“终于”，“最后”意思不对	a2:102176,A2:950550
νομίζω	to think, to believe	去思考，去相信	认为，觉得	错义	νομίζω 是“我认为”，不是“思考”	a2:102189,A2:951016
παραγγελία, η	order	命令	订单，点菜	错义	order 被译成“命令”，这里是订购/点单	a2:102198,A2:951127
γεύση, η	taste	品尝	味道，口味	词性	名词“味道”被译成动词“品尝”	a2:102202,A2:950302
σκηνή, η [theater, circus, concert]		阶段	舞台	错义	stage 被译成“阶段”，这里是剧场舞台	a2:102207
ΔΟΥ (Δημόσια Οικονομική Υπηρεσία)	Tax Office / Public Fiscal	税务局，公共	税务局	截断	“公共”是截断残留	a2:102220,A2:950430
ΚΕΠ (Κέντρο Εξυπηρέτησης Πολιτών), το		市民	市民服务中心	截断	只剩“市民”两字	a2:102247,A2:950756
αστυνομικός, ο/η	policeman/woman	警察，女	警察	截断	“警察，女”是 policeman/woman 截断残留	a2:102249,A2:950205
ΔΕΗ (Δημόσια Επιχείρηση Ηλεκτρισμού)	Public Power	南澳希	希腊国家电力公司	乱码	“南澳希”毫无意义	a2:102259,A2:950354
ΔΕΠΑ (Δημόσια Επιχείρηση Αερίου ΑΕ)		天然气供	希腊天然气公司	截断	只剩“天然气供”	a2:102260,A2:950367
κατάθεση, η	deposit	订金	存款	错义	deposit 被译成“订金”，κατάθεση 在银行语境是存款	a2:102271,A2:950725
δηλαδή	meaning, that is	的意思就是	也就是说	截断	“的意思就是”开头残缺，不成句	a2:102281,A2:950372
βαμβάκι, το	cotton	棉布	棉花	错义	急救用品语境，βαμβάκι 是棉花，不是棉布	a2:102299,A2:950230
θήκη, η	case	案件	盒子，套子	错义	case 被译成“案件”，θήκη 是装东西的盒/套	a2:102315,A2:950645
τζάμι, το	window	窗户	窗玻璃	错义	τζάμι 是玻璃（窗玻璃），不是窗户本身	a2:102321,A2:951486
πυρετός, ο	fever, temperature	发烧，温度	发烧	错义	“温度”是 temperature 的另一义项，πυρετός 只是发烧	a2:102331,A2:951297
ρίχνω	to drop	放下	扔，倒入，放进	错义	ρίχνω 是扔、倒进（锅里），不是“放下”	a2:102341,A2:951310
αριστερά [adv]	(to the) left	左边 ( left)	向左，左边	截断	夹杂英文残留“( left)”	a2:102345,A2:950186
περίπτωση, η	case	案件	情况	错义	case 被译成“案件”，περίπτωση 是情况	a2:102350,A2:951174
βάση, η	base	根据	基础，底部	错义	base 被译成“根据”	a2:102354,A2:950232
πυραμίδα [stereometry]	solid	实心三角形，金字塔	金字塔，棱锥（如食物金字塔）	错义	“实心三角形”是乱译	a2:102358,A1:901015,A2:951295
πάστα, η	cake, sweet	蛋糕，甜甜的	蛋糕，甜点	词性	sweet 被译成形容词“甜甜的”	a2:102376,A2:951151
απλώνω	to spread	传播	摊开，涂抹，晾开	错义	spread 被译成“传播”	a2:102381,A2:950150
μήπως	whether, if	是否，如果	是不是……，会不会……	错义	μήπως 是委婉疑问，不是“如果”	a2:102397,A2:950947
παροιμία, η	proverb, saying	谚语，说	谚语，俗话	词性	saying 被译成动词“说”	a2:102398,A2:951148
Γυμνάσιο, το	High school	高中，中学	初中	错义	希腊 Γυμνάσιο 是初中（12-15岁），不是高中	a2:102405,A2:950345
Λύκειο, το	High school	中学	高中	错义	希腊 Λύκειο 是高中，现译“中学”太泛且与上条混	a2:102406,A2:950876
καταφέρνω	to manage, to achieve	管理，实现	做到，设法完成	错义	manage 被译成“管理”	a2:102411,A2:950735
Θρησκευτικά [school subject]		宗教阶层	宗教课	错义	学校科目，被译成“宗教阶层”	a2:102414,A2:950646
κομμωτήριο, το	hairdresser’s / hair	美发师，发廊	理发店，发廊	词性	“美发师”是人，κομμωτήριο 是店	a2:102427,A2:950789
σταγόνα, η	drop	降低	滴，水滴	错义	drop 被译成“降低”	a2:102442,A2:951381
βάφω	to paint, to dye	绘画，染色	涂色，粉刷，染	错义	βάφω 是上色/粉刷/染发，“绘画”是画画	a2:102454
συγκρότημα, το	group	团体	乐队，乐团	错义	音乐会语境，συγκρότημα 是乐队	a2:102461,A2:951402
αθλητισμός, ο	sports	运动的	体育运动	词性	名词被译成形容词“运动的”	a2:102469,A2:950052
«παίζω την κολοκυθιά»		玩“20个提问”游戏 ("play 20	玩“南瓜秧”接话游戏（希腊儿童游戏）	截断	英文残留且不完整，游戏名也不对	A1:900001
αεροσυνοδός, ο/η	air host/hostess	空姐/空姐	空乘人员（空少/空姐）	错义	男女两性都写成“空姐”	A1:900027
αιγυπτιακός, -ή, -ό	Egyptian	埃及人	埃及的	词性	形容词被译成“埃及人”	A1:900032
αλβανικός, -ή, -ό	Albanian	阿尔巴尼亚语	阿尔巴尼亚的	词性	形容词被译成“阿尔巴尼亚语”	A1:900050
Αλβανός, -ή/-ίδα	Albanian	阿尔巴尼亚语	阿尔巴尼亚人	错义	指人，被译成“阿尔巴尼亚语”	A1:900051
αμερικανικός, -ή, -ό	American	美国人	美国的	词性	形容词被译成“美国人”	A1:900063
αντίθετος, -η, -ο	opposite	对面的	相反的	错义	αντίθετος 是相反，不是“对面的”	A1:900078
αριστερά [adverb]	(to the) left	左边 ( left)	向左，左边	截断	夹杂英文残留“( left)”	A1:900101
αρχαιολογικός χώρος, ο	archaeological site	考古遗址 (archaeological	考古遗址	截断	夹杂英文残留	A1:900104
Αυστραλός, -ή	Australian	澳大利亚	澳大利亚人	错义	指人，被译成国名	A1:900125
αυτός, -ή, -ό [for persons]	he, she, it	他，这个	他，她，它（这个人）	截断	只译出“他”，漏了她/它	A1:900130
βελγικός, -ή, -ό	Belgian	比利时人	比利时的	词性	形容词被译成“比利时人”	A1:900151
γαριδάκι, το	crisp	脆	虾条（膨化零食）	错义	crisp 被译成形容词“脆”	A1:900185
Δημοτικό σχολείο, το	Elementary/Primary School	小学 (Elementary/Primary	小学	截断	夹杂英文残留	A1:900264,A2:950385
δουλειές σπιτιού, οι	housework, housekeeping chores	家务活 (housework,	家务活	截断	夹杂英文残留	A1:900291,A2:950432
είμαι σπίτι	to be (at) home	回家 (to be (at) home)	在家	错义	είμαι σπίτι 是“在家”，不是“回家”	A1:900315,A2:950474
έξω από	outside	外部	在……外面	词性	介词短语被译成名词“外部”	A1:900353,A2:950533
επιτραπέζιο παιχνίδι, το	board	桌面游戏（桌游） (board	桌游	截断	夹杂英文残留	A1:900360
Ευρωπαίος, -α	European	欧洲的	欧洲人	词性	名词“欧洲人”被译成形容词“欧洲的”	A1:900383
εφτακόσιοι/επτακόσιοι, -ες, -α		七百 (seven	七百	截断	夹杂英文残留	A1:900394
